Vote,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_government_satisfaction,Weighted_education_rank,Number_of_valued_Kneset_members,Avg_education_importance
Browns,Environment,157.896862591964,316.278095572168,4.651,5349.0,380.416615469275,244.20294133232002,9.0,392.38423659638
Purples,Environment,174.546208939076,379.951015223132,3.28,6720.0,459.037747873106,138.82377253641198,15.0,556.412542718597
Turquoises,Education,94.85088422990259,734.114051563665,8.138,7862.0,958.431965476707,667.658823516584,13.0,925.2047136487989
Browns,Healthcare,328.15507206496,499.939865526413,1.214,8786.0,465.30144803714103,38.8716200333276,7.0,482.478307172499
Purples,Social,138.799205180282,395.426157591849,6.8839999999999995,3116.0,419.685497226605,132.260872800434,12.0,510.335889037239
Purples,Healthcare,73.3487240696833,476.195774069665,5.4879999999999995,4512.0,386.04107659077596,118.453020823735,11.0,521.859568740859
Khakis,Environment,58.1553637839056,59.8797423420096,8.122,7878.0,132.319160737097,690.7325944382021,11.0,115.011069954834
Violets,Education,96.80748085383681,7.42166235924487,12.933,3067.0,47.0418438579736,790.5457945747121,13.0,79.0984160266817
Reds,Other,40.6194415637069,687.4943777416389,7.6129999999999995,4387.0,521.76633293572,200.35692412709,10.0,567.193616597675
Khakis,Healthcare,36.8916001621509,,6.818,9182.0,799.1140502272169,563.614051006996,13.0,825.2019349576401
Greens,Financial,195.954445535666,273.641591521393,3.6180000000000003,6382.0,528.284209092422,262.32159295221,9.0,629.516379489364
Yellows,Financial,317.309920142713,308.43448743380696,5.816,8184.0,259.435045847742,316.785769768843,12.0,576.055119203194
Blues,Social,579.91433396595,547.506846487522,6.316,7684.0,398.10530631803,502.795998942373,12.0,9.934302885085339
Purples,Education,127.216146628953,343.169827196023,3.833,6167.0,460.61227669750804,161.715342202873,15.0,497.819161832435
Khakis,Financial,124.666931983242,912.353440160943,11.253,4747.0,551.386520150118,460.966781897557,12.0,699.535560608348
Pinks,Environment,266.003345927667,691.0319945742,4.938,5062.0,661.4171469772419,250.120081296829,8.0,496.632986685134
Blues,Social,544.632746859353,393.15280294977094,6.446000000000001,7554.0,216.026567155495,303.693166370259,12.0,513.1265083327891
Khakis,Education,313.81948626217604,265.9307324773,7.682,8318.0,424.87687990069395,463.66758838760995,16.0,106.864238018069
Violets,Healthcare,,0.57311546768471,11.47,4530.0,3.40572630486429,797.995382094401,13.0,124.815319897607
Yellows,Education,501.37835966354896,188.624165708206,9.515,4485.0,570.823839939184,344.933834011557,12.0,369.5836537804
Purples,Education,97.2062507011222,408.76241561218103,5.058,4942.0,441.83123033840894,109.18361669482901,15.0,514.5999858114881
Khakis,Social,210.372645589737,69.2860307880034,10.347999999999999,5652.0,312.54800036549597,530.65346425126,11.0,253.13906003473
Khakis,Healthcare,99.00262187343141,51.504023184957,6.664,9336.0,299.924351624213,,12.0,36.0950522892408
Purples,Education,106.69553784199101,365.988121668895,1.871,8129.0,369.61835609567396,226.519617785359,16.0,372.122790769426
Violets,Environment,54.669479962528804,650.32739754722,6.456,9544.0,885.5143016540269,422.36354838011596,14.0,584.683905006386
Khakis,Environment,249.75759792465098,54.373657587054396,7.7379999999999995,8262.0,479.75841374136496,664.732912875428,12.0,7.174182298404241
Khakis,Environment,43.1861044410973,948.107256053586,7.501,8499.0,914.3167624715719,784.8762830705209,11.0,993.53043182138
Khakis,Environment,49.513160800818795,966.081061973689,9.676,6324.0,856.116206152365,761.606528652448,14.0,985.79233821784
Turquoises,Healthcare,159.588875281463,945.637978962623,9.562000000000001,6438.0,985.3865833853059,816.6168944090421,14.0,982.3585892361801
Violets,Social,87.37709882688108,21.6919773645317,12.126,3874.0,62.787554427508,703.802799050444,12.0,225.400122231804
Turquoises,Social,57.3262531636576,704.828792950138,10.2,5800.0,966.380505071843,698.405143382388,12.0,977.8118189941471
Blues,Social,690.126473659533,611.77203990519,7.117999999999999,6882.0,768.744700588286,539.72638644856,13.0,45.480617322027705
Pinks,Financial,76.9297183588826,692.4909200955831,4.865,5135.0,661.503996827151,251.365819025355,7.0,506.96273393853204
Khakis,Financial,9.913358230244949,997.708480172936,9.265,6735.0,944.9375893455,822.955409923963,10.0,981.219718085699
Pinks,Healthcare,,722.544457437849,2.735,7265.0,669.007445453407,279.804320460943,9.0,514.174117031318
Whites,Environment,33.1583659666955,525.7139860956121,2.824,7176.0,395.403842274742,126.449985432286,9.0,433.75776631171897
Yellows,Financial,-36.6797267287102,254.465774464231,5.585,8415.0,546.40611916229,261.51874106951,11.0,422.854241040569
Browns,Environment,209.504714925019,347.554617941075,,6117.0,376.519818777921,218.50696682120702,9.0,403.77970648727404
Purples,Healthcare,131.777445164639,391.28590208173597,3.824,6176.0,424.777904906553,133.62154688591602,13.0,519.431909730024
Purples,Environment,165.5782596735,361.46310129530195,0.994999999999999,9005.0,385.006953507892,183.566541466435,13.0,464.211704403582
Khakis,Financial,36.0668268312134,88.6679831913493,11.073,4927.0,118.416688637808,729.787563701057,10.0,33.3201990971583
Purples,Healthcare,222.135847966494,398.35037955674403,6.832999999999999,3167.0,468.188673483076,113.93902249060301,13.0,459.534026453208
Reds,Other,140.064838481044,543.6877048341561,7.582000000000001,4418.0,447.62133829591795,184.836177613882,8.0,671.791364158166
Violets,Social,159.392264957236,407.105610973435,12.183,3817.0,327.744578395975,214.882791491848,12.0,411.268290365115
Khakis,Education,28.2353459447183,0.577608583833755,12.26,3740.0,4.440611810423429,862.208039628416,14.0,1.60169409476674
Purples,Education,111.83132438377501,408.284726151025,2.509,7491.0,430.18381863834,128.153375183094,16.0,443.988421431797
Purples,Social,250.19466007294997,344.997419060066,1.4240000000000002,8576.0,449.52489394058097,174.802056303344,13.0,436.895147111121
Whites,Social,190.89073477850602,545.23752168372,6.706,3294.0,429.64807270428804,85.8982638128362,7.0,480.437671821756
Reds,Foreign_Affairs,122.28082224933,548.877235289616,8.185,3815.0,451.123929410906,98.7937256729208,6.0,570.585733874132
Yellows,Financial,-50.847079817777995,307.94409869522997,8.513,5487.0,511.429480380072,213.14453883643998,9.0,408.26945880432
Purples,Financial,61.1569047295731,425.57798280427,5.3839999999999995,4616.0,346.314307428503,170.954405543525,11.0,508.2146229419
Browns,Environment,338.27244147240896,526.984263728494,0.938000000000001,9062.0,488.55761668566396,31.189271486101102,9.0,510.66264652666496
Yellows,Healthcare,20.7361957129051,622.99480076431,6.506,7494.0,343.90145626160796,225.739904651111,14.0,607.07020210868
Purples,Social,21.2225965099669,382.125223695387,0.220000000000001,9780.0,484.17567116377097,182.47172665396099,12.0,638.387350419387
Khakis,Financial,52.8435629466999,54.567852382081206,7.022,8978.0,110.29158078599701,721.8885935844991,10.0,86.6712066530847
Oranges,Other,128.969241205905,588.161512156674,2.7089999999999996,9291.0,302.806401558656,327.417443864072,9.0,746.057747397812
Whites,Education,248.835687903894,295.74321392321497,0.76,9240.0,288.162222628774,294.276782889453,11.0,501.65721687410104
Reds,Foreign_Affairs,175.84515134985,660.843418032643,3.237,8763.0,513.65016152153,188.098016213324,9.0,596.560507814534
Khakis,Environment,113.102720389853,138.952967333978,9.402000000000001,6598.0,191.80682324804403,682.366991763963,11.0,9.80950901144812
Browns,Financial,96.8415112501006,525.001309195123,3.072,6928.0,448.695495306942,69.4004460953354,6.0,460.51323949775804
Purples,Social,83.90661508905599,440.925916887431,1.186,8814.0,398.81314338117795,121.240515803346,10.0,531.156627292965
Purples,Healthcare,55.2785011376495,395.11873451994904,4.005,5995.0,380.216881972883,162.666428009893,11.0,466.648964206451
Purples,Education,,389.74357073741,4.706,5294.0,452.371760967493,120.171457295026,15.0,504.031104232853
Turquoises,Social,105.332379322997,984.1697930824009,9.769,6231.0,993.749520132343,853.154358860506,11.0,999.663269490872
Yellows,Environment,-41.805427217476,269.175833066263,10.26,3740.0,506.81412881269097,261.365472440415,13.0,377.58398065664903
Khakis,Environment,23.252361474186102,755.727920635987,8.305,7695.0,653.278639772907,346.68303771946097,15.0,676.912458122526
Khakis,Education,61.2394072841609,952.651051064731,6.557,9443.0,888.5949314571919,767.045919262586,16.0,982.141522245451
Khakis,Environment,55.4099472638224,383.635087454255,8.647,7353.0,388.26131145469805,481.817989580074,11.0,45.9931193325574
Purples,Financial,190.93207296520902,356.26109105302396,5.644,4356.0,,174.152683568403,8.0,524.765236204268
Purples,Social,156.370848932801,456.869235364575,4.937,5063.0,419.222227294358,100.31080668419001,13.0,459.049462563816
Pinks,Healthcare,,706.010921151569,1.848,8152.0,666.610026321545,266.32692414904096,9.0,472.969831260141
Khakis,Education,212.97653228303102,614.87961336201,8.122,7878.0,530.548824928701,207.72779237986697,12.0,670.353395787356
Greys,Military,247.74359469659697,515.919445807566,4.625,7375.0,656.945418217237,157.847385638507,7.0,505.523051575716
Blues,Healthcare,367.159371357407,367.621048586443,5.915,8085.0,648.999872617424,383.23447252636703,12.0,827.327835839242
Reds,Other,17.4611407620487,667.037171267968,8.258,3742.0,504.544938899572,187.16475208851003,11.0,584.3123441113349
Purples,Healthcare,244.57523538822997,486.2576564158401,6.856,3144.0,394.93081589505204,119.185084297369,14.0,554.559131804916
Yellows,Financial,-13.808180883631401,289.058688378512,4.552,9448.0,530.799359854446,251.994470883648,12.0,634.374014749477
Whites,Social,259.265423637562,301.182684273956,5.542999999999999,4457.0,275.526199059779,299.988285694218,7.0,491.273075415932
Whites,Education,258.757682453653,482.698576992002,2.049,7951.0,411.816804415448,90.3379302544988,11.0,490.762769838221
Yellows,Financial,-89.2221910109656,,4.602,9398.0,,262.368164815101,8.0,645.215777464392
Blues,Education,468.060349425384,474.09006161615304,9.622,4378.0,454.34958883561205,336.624278441566,12.0,832.506571197882
Whites,Environment,,533.082339262226,6.644,3356.0,385.520646831576,131.43855898462098,10.0,444.537117681897
Greys,Military,28.615185598487102,661.566232551132,7.992000000000001,4008.0,557.671829322789,173.53210508197103,5.0,473.852264037267
Khakis,Healthcare,132.306946032879,965.163264361654,6.956,9044.0,501.206502551213,467.503934193714,11.0,546.707711639565
Whites,Healthcare,289.631624510138,520.5395419152629,5.642,4358.0,390.204957531214,126.366841594717,8.0,440.908930270194
Blues,Financial,523.106590544227,893.0049675982449,4.1339999999999995,9866.0,636.685865465552,615.314893512127,12.0,953.295144252479
Greens,Financial,90.58641432799759,272.200137399653,5.277,4723.0,522.52588450295,313.788805406176,11.0,714.623441228721
Yellows,Social,,506.735358297475,5.558,8442.0,511.962403295072,144.5060688565,10.0,643.852493173981
Purples,Social,38.53525579117579,447.265046652732,2.7030000000000003,7297.0,391.065490055991,128.101498523064,11.0,541.9796517681469
Khakis,Education,90.43539768245279,618.785486960029,8.171,7829.0,606.908640475012,361.11532426643697,15.0,823.828392979225
Browns,Financial,116.494954585599,530.081773871899,4.567,5433.0,464.968154772612,65.7066517647777,6.0,453.253654829259
Pinks,Social,44.4174099871084,693.3246025774271,1.265,8735.0,626.3929460715381,232.97853447063702,8.0,469.513630164895
Whites,Financial,20.0258192142194,508.71575024934504,5.916,4084.0,443.90179673803596,56.9434861941129,6.0,495.57417710368696
Khakis,Social,174.441077765858,998.361537515657,9.503,6497.0,985.5916666565461,,9.0,987.5012349113921
Purples,Social,95.97226593611691,436.468954777658,1.006,8994.0,402.426171670702,116.630291319259,13.0,506.76603069285994
Reds,Other,69.9486398323921,682.8715159032901,3.4819999999999998,8518.0,497.299356228008,191.343785564246,7.0,556.2419724805729
Purples,Healthcare,79.40076621158441,472.890431461538,0.26,9740.0,447.591965148549,71.3912889518227,10.0,459.810631817978
Purples,Financial,75.57054455982909,384.640348157714,0.978,9022.0,,217.216306981678,9.0,521.129027655527
Purples,Healthcare,43.501330560041,333.903818932139,5.746,4254.0,414.212321696638,191.715408462863,11.0,542.512712546647
Greens,Financial,25.858200915062298,299.34370275557,6.04,,521.296097912536,256.055545844745,11.0,657.6323861003971
Pinks,Education,101.83908927639,707.777908192213,6.995,3005.0,666.3071705348091,266.432850970482,11.0,512.519184168039
Yellows,Financial,-2.16243876620612,576.847633909336,10.94,3060.0,523.2323724793911,125.9478750065,11.0,597.0441407307441
Khakis,Environment,199.912013410345,923.98110235109,9.43,6570.0,912.146855844185,,15.0,990.604345509773
Purples,Social,151.956382153411,426.01270243876,3.252,6748.0,486.86336486612504,102.099471381797,13.0,569.120262393789
Oranges,Military,66.5730973453231,242.96115851735598,8.696,3304.0,480.708191258079,314.259028340821,9.0,679.7709569937319
Khakis,Environment,97.90745335700109,198.742308211297,7.9110000000000005,8089.0,369.76648040581495,569.197413002299,11.0,34.952982505247995
Greens,Environment,189.37375171328898,294.342065408763,4.181,5819.0,503.230417490273,239.183454097234,15.0,622.078266109855
Purples,Social,111.78297227914,452.03043600503304,5.497000000000001,4503.0,419.83116200053297,114.99038244562401,10.0,432.95772677676496
Blues,Social,535.761933519836,505.929180188105,6.346,7654.0,366.41511018388,153.546774678227,13.0,424.524612957612
Reds,Foreign_Affairs,158.956916063009,566.959745325755,2.8339999999999996,9166.0,374.113645898942,146.09166135185302,8.0,531.8086760742669
Purples,Education,214.749776801793,437.535695547209,6.937,3063.0,442.402030933918,84.99307949535009,12.0,502.12325005466903
Greys,Military,211.962085376437,480.55215245022697,3.944,8056.0,477.1924978769,96.36565197316841,8.0,408.41431360305603
Whites,Healthcare,203.56092649093398,308.832129184417,0.945,9055.0,309.468819850287,272.599012826467,8.0,538.248350978292
Purples,Healthcare,241.457862135433,481.291783241762,6.513999999999999,3486.0,494.199969850907,23.252895315170104,10.0,487.467665160288
Greens,Social,195.27053740447,272.810263587282,0.975,9025.0,509.13036121166704,281.543110083718,12.0,666.036089475984
Khakis,Financial,12.9803608198684,24.917089036963898,9.717,6283.0,29.918210580945,822.14701513026,12.0,21.204580791479103
Purples,Education,169.749405963239,515.485908212951,1.844,,394.256570362771,111.755442237195,14.0,532.677096030821
Purples,Environment,39.0566204503294,402.837301717137,4.135,5865.0,466.21226903546096,108.48657074286699,11.0,534.454830288486
Pinks,Healthcare,57.1744634184587,713.6587627530761,0.0700000000000003,9930.0,680.953024563013,280.00808078977997,7.0,496.765605481902
Violets,Financial,136.111715767796,279.548073193842,7.806,8194.0,227.68498276454102,372.583487886304,12.0,373.25642106588896
Whites,Social,56.560686502067206,515.061409894363,2.909,7091.0,388.211893325676,127.72384740165701,7.0,440.08377237137
Reds,Other,248.623619608214,379.664189536713,5.678,6322.0,516.1902125100451,143.372956500236,9.0,576.242864549031
Purples,Financial,31.0255972023655,397.599132006385,2.4419999999999997,7558.0,389.398288641399,171.160255109927,10.0,418.90032917453794
Khakis,Education,117.900609885702,45.0206306873325,8.341000000000001,7659.0,142.238112865016,703.2175519124349,12.0,100.60654620890399
Turquoises,Environment,240.74361174270902,223.042548052035,6.431,9569.0,47.428108204056606,633.950142958671,15.0,153.06191283739
Blues,Financial,394.71278022347803,767.74195372127,,8016.0,926.4562628231939,536.272031120837,10.0,684.491174528375
Purples,Environment,213.507291327986,400.66322466287994,0.233000000000001,9767.0,378.204545979072,173.753721565026,,574.083926753074
Violets,Social,180.642008268568,985.937038526164,11.130999999999998,4869.0,734.806122557162,546.237750257078,11.0,584.302782895975
Reds,Foreign_Affairs,325.81717774179697,492.034078081845,8.766,3234.0,489.751320989493,147.651388479256,7.0,647.079710315141
Greens,Financial,73.20983577781558,267.219745527353,1.054,8946.0,481.42640784227996,,9.0,645.361145733051
Pinks,Financial,79.5452601802239,254.86254321782397,,3081.0,341.73880956942503,323.48532599704,7.0,360.344069151091
Purples,Social,134.704277875589,397.41188799489504,4.975,5025.0,450.086155615699,117.015617079103,11.0,526.018110123739
Greens,Social,141.944648698749,293.841497048341,3.0610000000000004,6939.0,494.864811492205,238.547608369696,11.0,619.9052249012619
Purples,Healthcare,43.959768315484105,440.88412971665804,,5156.0,451.341436615759,83.70322412189259,13.0,533.821410651016
Purples,Environment,43.183613206695,513.284284872614,4.213,5787.0,435.286146581032,105.48340899604,11.0,582.233779704677
Greys,Military,107.111821452837,567.4914945657309,7.9670000000000005,4033.0,521.216497896629,78.56697970264521,8.0,465.830881224676
Khakis,Financial,140.717648363274,895.9536232092751,6.744,9256.0,860.9983685892081,681.396295412487,10.0,920.953462445956
Reds,Foreign_Affairs,30.218762973937803,543.097430185617,5.145,6855.0,408.306468665939,116.957970287349,8.0,558.430083318629
Purples,Education,146.42223606354202,359.245211881852,4.552,5448.0,405.60496940532096,176.98539826656798,12.0,448.99510787756896
Whites,Education,98.7814414289509,552.930803566772,1.615,8385.0,394.33740760276606,128.398704380148,10.0,449.800658488656
Yellows,Financial,-68.71773186923839,238.69451503548402,9.809,4191.0,354.124184235308,309.00463135418596,9.0,576.964615900952
Khakis,Education,110.42506664888201,649.352645338083,8.516,7484.0,,208.301120072062,12.0,611.900867396332
Violets,Education,240.95249483070998,915.1431985880521,9.011000000000001,6989.0,917.132071004915,619.323013722614,16.0,692.9195566335691
Blues,Healthcare,634.889047133829,854.698469396681,9.101,4899.0,69.01082862168549,584.136366189994,11.0,327.800626400858
Oranges,Other,98.870035300872,272.671041591361,6.747999999999999,,332.994979101292,284.078590478928,11.0,533.637973065567
Yellows,Healthcare,-62.9924307036122,303.64469363536597,,3985.0,642.7240595008631,254.42853000344502,11.0,423.787708460125
Browns,Social,161.872467015515,351.446887865981,1.1640000000000001,8836.0,417.65663987392503,185.877098647034,,424.489472787668
Khakis,Environment,227.464319376384,995.894149887398,11.235,4765.0,924.470757832751,819.1119534660589,14.0,994.831244126043
Blues,Social,524.543536189805,497.364887036383,9.413,4587.0,902.5743622332809,514.926552098935,10.0,821.0549689829351
Reds,Foreign_Affairs,46.363034936594,627.70688226115,5.336,6664.0,493.314323112237,138.459548948501,9.0,553.078250185096
Purples,Environment,177.997238233497,424.46853471005,0.0210000000000008,9979.0,451.334615512389,162.78761793232098,15.0,364.255804338066
Oranges,Military,291.37659311506803,369.66234165819395,6.867999999999999,5132.0,571.4569302966349,312.146736342231,8.0,774.484219837249
Greens,Environment,55.252452938852905,306.227243091722,3.5610000000000004,6439.0,539.142669914677,240.60731934031298,11.0,637.156305696266
Oranges,Military,33.8964682868371,268.250453919575,6.524,5476.0,626.993216033345,293.132374914531,6.0,373.147880600842
Greys,Foreign_Affairs,221.194416196789,462.719694534028,6.3420000000000005,5658.0,569.877546450026,100.945583671203,7.0,437.41151712009497
Browns,Financial,95.78196062536792,314.69269380547996,6.2829999999999995,3717.0,364.45866656789497,242.674315528862,6.0,421.38338203802596
Purples,Environment,45.170671682602205,460.005988111325,4.644,5356.0,461.59657968359704,55.5482311388363,12.0,496.64406440708296
Reds,Foreign_Affairs,91.0828452636471,410.461534022501,8.63,3370.0,,129.22399510215098,6.0,588.009077158797
Khakis,Education,42.4497176229842,208.854048638092,12.728,3272.0,372.496110037901,475.545936253213,16.0,146.27591185071
Khakis,Social,206.720115836361,684.7778712166739,11.819,4181.0,623.729776823893,521.6459445261551,11.0,971.871351192598
Purples,Environment,229.786143687839,352.801969974854,2.7119999999999997,7288.0,511.815125284151,152.01231134288798,13.0,536.067791324716
Whites,Environment,324.908657111894,523.619231904358,5.26,4740.0,460.12430642084394,65.723427217082,9.0,546.60074925351
Yellows,Social,330.417951441946,529.501852243557,6.074,7926.0,523.653257731925,106.72534220706801,13.0,599.802118124228
Oranges,Other,227.127585948461,450.577050108507,5.4110000000000005,6589.0,219.69547656044497,285.768200725304,7.0,474.50077042095995
Reds,Foreign_Affairs,131.22313232422502,542.793745004022,5.882999999999999,6117.0,374.305453032326,149.945852550108,6.0,569.665880803308
Khakis,Environment,264.583770773104,636.762512279009,7.599,8401.0,574.373902985826,344.279142562593,11.0,807.0711086921449
Khakis,Environment,157.366682111037,720.0599536047099,6.61,9390.0,518.785894964822,465.051775953878,13.0,909.260138894225
Browns,Healthcare,245.34549088627202,317.601835425247,5.42,4580.0,387.87617150068604,223.94967637888803,8.0,434.329502875138
Purples,Healthcare,283.476558563732,418.589776048955,4.477,5523.0,419.55134209329697,120.75999628216299,12.0,461.485514681889
Greys,Foreign_Affairs,45.8331315096895,664.6794285836701,7.8420000000000005,4158.0,498.16856595866096,167.23480511355498,7.0,470.93435546772
Khakis,Social,233.40444977212897,269.662375923961,,9193.0,331.240172963589,473.29357668621697,10.0,122.546016783399
Purples,Healthcare,182.55007363518996,381.461438175865,1.4969999999999999,8503.0,405.083225497219,152.93434983523,12.0,481.880103803323
Purples,Education,134.341777207596,419.754373383289,2.659,7341.0,443.16949188792296,118.913187049994,16.0,433.132378455628
Purples,Environment,114.76018204415199,440.95721972919404,6.4670000000000005,3533.0,432.14888021543703,92.0368542681223,15.0,480.48184984569997
Blues,Education,377.942739206177,166.361110052094,7.356,6644.0,785.611713072285,610.306952151936,16.0,76.2245685327798
Turquoises,Healthcare,149.851942959687,753.291765460745,8.021,7979.0,984.859463552209,611.580334476794,12.0,773.4686228297321
Khakis,Environment,61.3070294704274,958.3684923269341,8.789,7211.0,952.792480704375,788.39741691574,12.0,954.365251377043
Browns,Healthcare,47.675811977317295,501.965918666277,3.45,6550.0,424.572013832048,79.51523272942859,7.0,474.911630135458
Purples,Financial,152.424142753709,426.475402140017,2.459,7541.0,361.801522114645,176.823120643445,8.0,582.22974044581
Khakis,Healthcare,124.29094656334298,624.675030551345,7.48,8520.0,591.4768163347619,518.4817694394391,13.0,994.8853140590551
Blues,Financial,510.501382183739,699.4638354517521,9.37,4630.0,618.3009855449201,343.09565145524897,10.0,752.85110482946
Khakis,Healthcare,114.367934149308,934.1990148563789,6.751,9249.0,597.195608657785,463.47642348682996,12.0,629.748311293578
Yellows,Financial,-125.936049688461,170.27584164058902,5.438,8562.0,508.137034035412,339.853003573995,12.0,581.9501806559961
Greens,Financial,51.66666743696629,280.455489478629,6.662999999999999,3337.0,488.834397445,276.707686413078,8.0,668.055588837723
Greens,,114.694913612501,262.927450670651,2.1630000000000003,7837.0,503.247629730746,289.355454243016,16.0,665.869340614223
Violets,Education,70.8947041429534,995.295751937729,8.982999999999999,7017.0,965.492059836044,820.9262058631441,,960.34671261441
